-	2: 404.title	[...slug]	The page you're looking for can't be found.	Die gewünschte Seite wurde nicht gefunden.	
-	is-strange-helper-alert.title	Localizable	Enabling Failed	Einschalten fehlgeschlagen	
+	is-strange-helper-alert.title	Localizable	Enabling Failed	Aktivierung fehlgeschlagen	
-	license-toast.activation-overload	Localizable	This license has been activated **%2$d** times. The maximum is **%3$d**.\n\nBecause of this, the license has been invalidated. This is to prevent piracy. If you have other reasons for activating the license this many times, please excuse the inconvenience.\n\nJust [reach out](%1$@) and I will provide you with a new license! Thanks for understanding.	Diese Lizenz wurde **%2$d** mal aktiviert. Das Maximum ist **%3$d**.\n\nDie Lizenz wurde deshalb ungültig gemacht. Das ist um Raubkopieren zu verhindern. Wenn du andere Gründe hast, um die Lizenz so oft zu aktivieren, dann bitte ich um Entschuldigung für die Umstände.\n\n[Kontaktiere mich](%1$@) einfach und ich werde dir eine neue Lizenz bereitstellen! Danke für dein Verständnis.	Note: "%2$d", "%3$d", and "%1$@" are so-called "C Format Specifers". They will be replaced by numbers or text when the program runs. Make sure to type the format specifiers exactly like in the English version so that the text-replacement-code works correctly.
+	license-toast.activation-overload	Localizable	This license has been activated **%2$d** times. The maximum is **%3$d**.\n\nBecause of this, the license has been invalidated. This is to prevent piracy. If you have other reasons for activating the license this many times, please excuse the inconvenience.\n\nJust [reach out](%1$@) and I will provide you with a new license! Thanks for understanding.	Diese Lizenz wurde **%2$d** Mal aktiviert. Das Maximum ist **%3$d**.\n\nDaher wurde die Lizenz ungültig gemacht. Dies dient dem Schutz vor Piraterie. Falls du aus anderen Gründen die Lizenz so oft aktiviert hast, entschuldige bitte die Unannehmlichkeiten.\n\n[Melde dich](%1$@) einfach bei mir und ich stelle dir eine neue Lizenz aus! Danke für dein Verständnis.	Note: "%2$d", "%3$d", and "%1$@" are so-called "C Format Specifers". They will be replaced by numbers or text when the program runs. Make sure to type the format specifiers exactly like in the English version so that the text-replacement-code works correctly.
-	license-toast.already-active	Localizable	Your app is **already licensed** with this key	Deine App **ist bereits** mit diesem Schlüssel **lizenziert**	
+	license-toast.already-active	Localizable	Your app is **already licensed** with this key	Deine App ist mit diesem Schlüssel **bereits lizenziert**	
-	license-toast.free-country	Localizable	This license **could not be activated** but Mac Mouse Fix is currently **free in your country**.	Diese Lizenz **konnte nicht aktiviert werden**, aber Mac Mouse Fix ist momentan **in deinem Land kostenlos**.	
+	license-toast.free-country	Localizable	This license **could not be activated** but Mac Mouse Fix is currently **free in your country**.	Diese Lizenz **konnte nicht aktiviert werden**, aber Mac Mouse Fix ist derzeit in **deinem Land kostenlos**.	
-	license-toast.gumroad-error	Localizable	An **error with the licensing server** occurred\n\nIt says:\n\n%@	Ein **Fehler mit dem Lizenzserver** ist aufgetreten\n\nEr lautet:\n\n%@	
+	license-toast.gumroad-error	Localizable	An **error with the licensing server** occurred\n\nIt says:\n\n%@	Ein **Fehler mit dem Lizenzserver** ist aufgetreten\n\nEs meldet:\n\n%@	
-	license-toast.no-internet	Localizable	There is a **problem with the internet connection**\n\nMake sure your computer is online and no firewalls are blocking Mac Mouse Fix from connecting to the internet.\n\nIf this doesn't solve the problem, contact me [here](%@).	Es gibt ein **Problem mit der Internetverbindung**\n\nStelle sicher, dass dein Computer online ist und keine Firewalls Mac Mouse Fix daran hindern, sich mit dem Internet zu verbinden.\n\nWenn das das Problem nicht löst, kontaktiere mich [hier](%@).	
+	license-toast.no-internet	Localizable	There is a **problem with the internet connection**\n\nMake sure your computer is online and no firewalls are blocking Mac Mouse Fix from connecting to the internet.\n\nIf this doesn't solve the problem, contact me [here](%@).	Es gibt ein **Problem mit der Internetverbindung**\n\nStelle sicher, dass dein Computer online ist und keine Firewalls Mac Mouse Fix daran hindern, sich mit dem Internet zu verbinden.\n\nFalls das Problem dadurch nicht gelöst wird, kontaktiere mich [hier](%@).	
-	license-toast.server-response-invalid	Localizable	There is a **problem with the licensing server**\n\nPlease try again later.\n\nIf the issue persists, contact me [here](%@).	Es gibt ein **Problem beim Lizenzserver**\n\nBitte versuche es später noch einmal.\n\nWenn das Problem weiterhin besteht, kontaktiere mich [hier](%@).	
+	license-toast.server-response-invalid	Localizable	There is a **problem with the licensing server**\n\nPlease try again later.\n\nIf the issue persists, contact me [here](%@).	Es gibt ein **Problem mit dem Lizenzserver**\n\nBitte versuche es später erneut.\n\nFalls das Problem weiterhin besteht, kontaktiere mich [hier](%@).	
-	license-toast.unknown-key	Localizable	'**%@**' is not a valid license key\n\nMake sure you enter your Mac Mouse Fix key exactly as you received it.	'**%@**' ist kein gültiger Lizenzschlüssel\n\nStelle sicher, dass du deinen Mac Mouse Fix Schlüssel genau so eingibst, wie du ihn erhalten hast.	
+	license-toast.unknown-key	Localizable	'**%@**' is not a valid license key\n\nMake sure you enter your Mac Mouse Fix key exactly as you received it.	„**%@**" ist kein gültiger Lizenzschlüssel\n\nStelle sicher, dass du deinen Mac Mouse Fix-Schlüssel genau so eingibst, wie du ihn erhalten hast.	
-	license-toast.unknown-reason	Localizable	Activating your license failed for **unknown reasons**\n\nPlease write a **Bug Report** [here](%@)	Die Aktivierung deiner Lizenz ist aus **unbekannten Gründen** gescheitert\n\nBitte schreibe [hier](%@) einen **Fehlerbericht**	
+	license-toast.unknown-reason	Localizable	Activating your license failed for **unknown reasons**\n\nPlease write a **Bug Report** [here](%@)	Die Aktivierung deiner Lizenz ist aus **unbekannten Gründen** fehlgeschlagen\n\nBitte schreibe einen **Fehlerbericht** [hier](%@)	
-	macos-scrolling-hint	Localizable	Set speed under\n[%1$@ > Mouse > Scrolling Speed](%2$@)	Stelle das Tempo ein unter\n[%1$@ > Maus > Scrolltempo](%2$@)	%1$@ will be the name of the System Settings app.\n\nConsider putting the destination in the System Settings on its own line just like English to make the text easier to scan.
+	macos-scrolling-hint	Localizable	Set speed under\n[%1$@ > Mouse > Scrolling Speed](%2$@)	Geschwindigkeit einstellen unter\n[%1$@ > Maus > Scrollgeschwindigkeit](%2$@)	%1$@ will be the name of the System Settings app.\n\nConsider putting the destination in the System Settings on its own line just like English to make the text easier to scan.
-	mail-alert.body	Localizable	I can only rarely respond, but I read all messages and the feedback helps me improve Mac Mouse Fix. Thank you for your feedback!	Ich kann nur selten antworten, aber ich lese alle Nachrichten und das Feedback hilft mir dabei, Mac Mouse Fix zu verbessern. Danke für dein Feedback!	
+	mail-alert.body	Localizable	I can only rarely respond, but I read all messages and the feedback helps me improve Mac Mouse Fix. Thank you for your feedback!	Ich kann nur selten antworten, aber ich lese alle Nachrichten und das Feedback hilft mir, Mac Mouse Fix zu verbessern. Danke für dein Feedback!	
-	mail-alert.title	Localizable	Write an Email?	Eine E-Mail schreiben?	
+	mail-alert.title	Localizable	Write an Email?	E-Mail schreiben?	
-	modifer-key.tool.control	Localizable	Control (^)	Steuerungstaste (^)	
+	modifer-key.tool.control	Localizable	Control (^)	Ctrl-Taste (^)	
-	natural-scrolling-hint	Localizable	Content tracks finger movement	Inhalte folgen Finger-Bewegung	
+	natural-scrolling-hint	Localizable	Content tracks finger movement	Inhalt folgt Fingerbewegung	
-	precise-scrolling-hint	Localizable	Scroll precisely, even without a keyboard modifier, by moving the scroll wheel *slowly*	Scrolle auch ohne Sondertasten präzise, indem du das\nScrollrad *langsam* bewegst	The mention of keyboard modifiers is meant to draw attention to the keyboard modifers section of the UI which appears right below. (Search for: 'Scrolling > Keyboard Modifiers')
+	precise-scrolling-hint	Localizable	Scroll precisely, even without a keyboard modifier, by moving the scroll wheel *slowly*	Scrolle präzise, auch ohne Tastaturmodifikator, indem du das Scrollrad *langsam* bewegst	The mention of keyboard modifiers is meant to draw attention to the keyboard modifers section of the UI which appears right below. (Search for: 'Scrolling > Keyboard Modifiers')
-	restore-buttons-alert.hint	Localizable	Your mouse (**%1$@**) says it has **%2$d** buttons	Deine Maus (**%1$@**) sagt, dass sie **%2$d** Tasten hat	Note: '%1$@' will be the name of the mouse, such as 'Logitech M720 Triathlon'
+	restore-buttons-alert.hint	Localizable	Your mouse (**%1$@**) says it has **%2$d** buttons	Deine Maus (**%1$@**) meldet **%2$d** Tasten	Note: '%1$@' will be the name of the mouse, such as 'Logitech M720 Triathlon'
-	restore-buttons-alert.title	Localizable	Restore Default for ...	Standard wiederherstellen für ...	.
+	restore-buttons-alert.title	Localizable	Restore Default for ...	Standard wiederherstellen für …	.
-	restore-default-buttons-popover.body	Localizable	**Click here** to load the recommended settings\nfor your mouse (**%@**)	**Klicke hier**, um die empfohlenen Einstellungen\nfür deine Maus zu laden (**%@**)	Note: There's a linebreak in English so the popover doesn't become too wide and to aid with readability.
+	restore-default-buttons-popover.body	Localizable	**Click here** to load the recommended settings\nfor your mouse (**%@**)	**Hier klicken**, um die empfohlenen Einstellungen\nfür deine Maus (**%@**) zu laden	Note: There's a linebreak in English so the popover doesn't become too wide and to aid with readability.
-	revive-toast	Localizable	**Enabled** Mac Mouse Fix for %1$@\nIt had been disabled from the Menu&nbsp;Bar&nbsp;%2$@	Mac Mouse Fix **aktiviert** für %1$@\nEs war in der Menüleiste&nbsp;%2$@ deaktiviert worden	Note: "%1$@" will be a list of mouse features like "Scrolling" or "Buttons" for which Mac Mouse Fix was enabled. "%2$@" will be the menu bar icon.\n\nNote 2: "&nbsp;" Creates a "non-breaking space" character which prevents the menu bar icon from ending up "orphaned" on a separate line from the "Menu Bar" text.\n\nNote 3: The mentioned feature in the menu bar lets you disable Mac Mouse Fix's effect on your mouse-buttons/scroll-wheel directly from the menubar. The feature is aimed at temporarily disabling specific features while working with an incompatible app. To permanently disable the features, users should change the settings in the main app instead of the menu bar. Perhaps you can phrase this so it's a bit more obvious than in English? But really, the design should change.\n\nNote 4: The word 'enable' in this context doesn't necessarily have to match the 'Enable Mac Mouse Fix' switch I think.
+	revive-toast	Localizable	**Enabled** Mac Mouse Fix for %1$@\nIt had been disabled from the Menu&nbsp;Bar&nbsp;%2$@	Mac Mouse Fix für %1$@ **aktiviert**\nEs war von der Menüleiste aus deaktiviert worden\&nbsp;%2$@	Note: "%1$@" will be a list of mouse features like "Scrolling" or "Buttons" for which Mac Mouse Fix was enabled. "%2$@" will be the menu bar icon.\n\nNote 2: "&nbsp;" Creates a "non-breaking space" character which prevents the menu bar icon from ending up "orphaned" on a separate line from the "Menu Bar" text.\n\nNote 3: The mentioned feature in the menu bar lets you disable Mac Mouse Fix's effect on your mouse-buttons/scroll-wheel directly from the menubar. The feature is aimed at temporarily disabling specific features while working with an incompatible app. To permanently disable the features, users should change the settings in the main app instead of the menu bar. Perhaps you can phrase this so it's a bit more obvious than in English? But really, the design should change.\n\nNote 4: The word 'enable' in this context doesn't necessarily have to match the 'Enable Mac Mouse Fix' switch I think.
-	scroll-effect.4-pinch	Localizable	Desktop & Launchpad	Launchpad & Schreibtisch	
+	scroll-effect.4-pinch	Localizable	Desktop & Launchpad	Schreibtisch & Launchpad	
-	scroll-effect.4-pinch.hint	Localizable	Scroll up for Launchpad and down to show the Desktop\n \nWorks like Pinching with 4 fingers on an Apple Trackpad	Scrolle nach oben für Launchpad und nach unten um den Schreibtisch zu zeigen\n \nFunktioniert wie Aufziehen mit 4 Fingern auf einem Apple Trackpad	
+	scroll-effect.4-pinch.hint	Localizable	Scroll up for Launchpad and down to show the Desktop\n \nWorks like Pinching with 4 fingers on an Apple Trackpad	Scrolle nach oben für Launchpad und nach unten, um den Schreibtisch zu zeigen\n \nFunktioniert wie das Aufziehen mit 4 Fingern auf einem Apple Trackpad	
-	scroll-effect.app-switcher.hint	Localizable	Quickly switch between open apps\n \nWorks like holding Command (⌘) and then pressing Tab (⇥) on your keyboard	Wechsle schnell zischen offenen Apps\n \nFunktioniert wie auf deiner Tastatur die Befehlstaste (⌘) zu halten und dann Tab (⇥) zu drücken	
+	scroll-effect.app-switcher.hint	Localizable	Quickly switch between open apps\n \nWorks like holding Command (⌘) and then pressing Tab (⇥) on your keyboard	Wechsle schnell zwischen offenen Apps\n \nFunktioniert wie das Gedrückthalten von Befehlstaste (⌘) und Drücken von Tab (⇥) auf deiner Tastatur	
-	scroll-effect.horizontal.hint	Localizable	Scroll left and right, navigate between pages in Safari, delete messages in Mail and more\n \nWorks like swiping horizontally with 2 fingers on an Apple Trackpad	Scrolle nach links und rechts, blättere zwischen Seiten in Safari, lösche Nachrichten in Mail, und mehr\n \nFunktioniert wie horizontales Wischen mit 2 Fingern auf einem Apple Trackpad	
+	scroll-effect.horizontal.hint	Localizable	Scroll left and right, navigate between pages in Safari, delete messages in Mail and more\n \nWorks like swiping horizontally with 2 fingers on an Apple Trackpad	Scrolle nach links und rechts, navigiere zwischen Seiten in Safari, lösche Nachrichten in Mail und mehr\n \nFunktioniert wie das horizontale Streichen mit 2 Fingern auf einem Apple Trackpad	
-	scroll-effect.precise.hint	Localizable	Scroll small distances and use sensitive UI elements with precision	Scrolle kleine Distanzen und benutze empfindliche Bedienelemente mit Präzision	
+	scroll-effect.precise.hint	Localizable	Scroll small distances and use sensitive UI elements with precision	Scrolle kurze Distanzen und nutze empfindliche Bedienelemente mit Präzision	
-	scroll-effect.rotate.hint	Localizable	Rotate content in Apple Maps and other apps\n \nWorks like twisting with 2 fingers on an Apple Trackpad	Drehe den Inhalt in Apple Maps und anderen Apps\n \nFunktioniert wie Drehen mit 2 Fingern auf einem Apple Trackpad	
+	scroll-effect.rotate.hint	Localizable	Rotate content in Apple Maps and other apps\n \nWorks like twisting with 2 fingers on an Apple Trackpad	Drehe Inhalte in Apple Karten und anderen Apps\n \nFunktioniert wie das Drehen mit 2 Fingern auf einem Apple Trackpad	
-	scroll-effect.spaces.hint	Localizable	Scroll up to move left a Space and down to move right a Space\n \nWorks like swiping horizontally with 3 fingers on an Apple Trackpad	Scrolle nach oben um einen Space nach links zu wechseln und nach unten um einen Space nach rechts zu wechseln\n \nFunktioniert wie horizontales Wischen mit 3 Fingern auf einem Apple Trackpad	
+	scroll-effect.spaces.hint	Localizable	Scroll up to move left a Space and down to move right a Space\n \nWorks like swiping horizontally with 3 fingers on an Apple Trackpad	Scrolle nach oben, um einen Space nach links zu wechseln, und nach unten, um einen Space nach rechts zu wechseln\n \nFunktioniert wie das horizontale Streichen mit 3 Fingern auf einem Apple Trackpad	
-	scroll-effect.swift.hint	Localizable	Scroll long distances with minimal effort	Scrolle große Distanzen mit minimalem Aufwand	
+	scroll-effect.swift.hint	Localizable	Scroll long distances with minimal effort	Scrolle weite Distanzen mit minimalem Aufwand	
-	scroll-effect.zoom	Localizable	Zoom In or Out	Rein- oder rauszoomen	
+	scroll-effect.zoom	Localizable	Zoom In or Out	Vergrößern oder Verkleinern	
-	scroll-effect.zoom.hint	Localizable	Zoom in or out in Safari, Maps and other apps\n \nWorks like pinching to zoom on an Apple trackpad	Zoome rein oder raus in Safari, Maps, und anderen Apps\n \nFunktioniert wie Aufziehen mit 2 Fingern bei einem Apple Trackpad	
+	scroll-effect.zoom.hint	Localizable	Zoom in or out in Safari, Maps and other apps\n \nWorks like pinching to zoom on an Apple trackpad	Zoome in Safari, Karten und anderen Apps hinein oder heraus\n \nFunktioniert wie das Aufziehen zum Zoomen auf einem Apple Trackpad	
-	thanks.01	Localizable	⭐️ Thank you for buying Mac Mouse Fix!	⭐️ Danke, dass du Mac Mouse Fix gekauft hast!	Note: The weird thank-you messages are rare. Feel free to change them if you'd like to leave an easter egg. You can also leave them blank (insert a space character), just make sure to fill out thanks.01 - thanks.03
+	thanks.01	Localizable	⭐️ Thank you for buying Mac Mouse Fix!	⭐️ Danke für den Kauf von Mac Mouse Fix!	Note: The weird thank-you messages are rare. Feel free to change them if you'd like to leave an easter egg. You can also leave them blank (insert a space character), just make sure to fill out thanks.01 - thanks.03
-	thanks.02	Localizable	🙌 Thank you for buying Mac Mouse Fix!	🙌 Danke, dass du Mac Mouse Fix gekauft hast!	
+	thanks.02	Localizable	🙌 Thank you for buying Mac Mouse Fix!	🙌 Danke für den Kauf von Mac Mouse Fix!	
-	thanks.03	Localizable	🚀 Thanks for supporting Mac Mouse Fix!	🚀 Danke, dass du Mac Mouse Fix unterstützt!	
+	thanks.03	Localizable	🚀 Thanks for supporting Mac Mouse Fix!	🚀 Danke für die Unterstützung von Mac Mouse Fix!	
-	thanks.04	Localizable	🌟 Thanks for purchasing Mac Mouse Fix!	🌟 Dankeschön, dass du Mac Mouse Fix gekauft hast!	
+	thanks.04	Localizable	🌟 Thanks for purchasing Mac Mouse Fix!	🌟 Danke für den Kauf von Mac Mouse Fix!	
-	thanks.05	Localizable	🧠 Great purchasing decision! ;)	🧠 Großartige Kaufentscheidung! ;)	
+	thanks.05	Localizable	🧠 Great purchasing decision! ;)	🧠 Tolle Kaufentscheidung! ;)	
-	thanks.06	Localizable	🔥 Awesome taste in mouse fixing software! ;)	🔥 Super Geschmack was Maus-Fixing-Software angeht! ;)	
+	thanks.06	Localizable	🔥 Awesome taste in mouse fixing software! ;)	🔥 Ausgezeichneter Geschmack bei Maus-Reparatur-Software! ;)	
-	thanks.09	Localizable	👽 Share it with your Spacebook friends!	👽 Teile es mit deinen Spacebook Freunden!	
+	thanks.09	Localizable	👽 Share it with your Spacebook friends!	👽 Teile es mit deinen Spacebook-Freunden!	
-	thanks.13	Localizable	🐹 We should get him a bow tie.	🐹 Wir sollten ihm eine Krawatte besorgen.	
+	thanks.13	Localizable	🐹 We should get him a bow tie.	🐹 Wir sollten ihm eine Fliege besorgen.	
-	thanks.21	Localizable	🐠 What... Are... You?	🐠 Was... Bist... Du?	
+	thanks.21	Localizable	🐠 What... Are... You?	🐠 Was... bist... du?	
-	thanks.22	Localizable	🐁 The merchant's personal pet!	🐁 Die persönliche Gehilfin des Händlers!	
+	thanks.22	Localizable	🐁 The merchant's personal pet!	🐁 Das persönliche Haustier des Händlers!	
-	trial-notif.body	Localizable	Hi there! You've been using Mac Mouse Fix for **%1$d days** now. I hope you're enjoying it!\n\nIf you want to keep using Mac Mouse Fix, you can [buy it now](%2$@).	Hi! Du verwendest Mac Mouse Fix jetzt seit **%1$d Tagen**. Ich hoffe, es gefällt dir!\n\nWenn du Mac Mouse Fix auch weiter verwenden willst, kannst du es dir [jetzt kaufen](%2$@).	
+	trial-notif.body	Localizable	Hi there! You've been using Mac Mouse Fix for **%1$d days** now. I hope you're enjoying it!\n\nIf you want to keep using Mac Mouse Fix, you can [buy it now](%2$@).	Hallo! Du nutzt Mac Mouse Fix jetzt seit **%1$d Tagen**. Ich hoffe, es gefällt dir!\n\nWenn du Mac Mouse Fix weiterhin nutzen möchtest, kannst du es [jetzt kaufen](%2$@).	
-	trigger.substring.button-modifier.1	Localizable	Click %@ +	%@ klicken + 	Note: %@ will be a button name\nExample where %@ is 'Button 4': Click Button 4 + Double Click and Drag Button 5
+	trigger.substring.button-modifier.1	Localizable	Click %@ +	klicke %@ +	Note: %@ will be a button name\nExample where %@ is 'Button 4': Click Button 4 + Double Click and Drag Button 5
-	trigger.substring.button-modifier.2	Localizable	Double Click %@ +	%@ doppelklicken + 	Note: All the "trigger.substring.[...]" strings should be lowercase unless there's a specific reason to capitalize them. In English, that reason is that we're using "Title Case", but this isn't common in other languages. For example, in German, the substring "Click and Drag %@" is localized as "klicke %@ und ziehe". Notice that not even the first word is capitalized. That's because these substrings are joined programmatically to create a combined string. So only capitalize words if there's a specific reason (such as "Title Case" in English, or capitalization of nouns in German). If you wanna deviate from this that's also fine, just try to stay consistent.
+	trigger.substring.button-modifier.2	Localizable	Double Click %@ +	Doppelklick %@ +	Note: All the "trigger.substring.[...]" strings should be lowercase unless there's a specific reason to capitalize them. In English, that reason is that we're using "Title Case", but this isn't common in other languages. For example, in German, the substring "Click and Drag %@" is localized as "klicke %@ und ziehe". Notice that not even the first word is capitalized. That's because these substrings are joined programmatically to create a combined string. So only capitalize words if there's a specific reason (such as "Title Case" in English, or capitalization of nouns in German). If you wanna deviate from this that's also fine, just try to stay consistent.
-	trigger.substring.button-modifier.3	Localizable	Triple Click %@ +	%@ dreifach klicken + 	
+	trigger.substring.button-modifier.3	Localizable	Triple Click %@ +	Dreifachklick %@ +	
-	trigger.substring.button-name.middle	Localizable	Middle Button	mittlere Taste	.
+	trigger.substring.button-name.middle	Localizable	Middle Button	mittlere Maustaste	.
-	trigger.substring.button-name.primary	Localizable	Primary Button	primäre Taste	
+	trigger.substring.button-name.primary	Localizable	Primary Button	primäre Maustaste	
-	trigger.substring.button-name.secondary	Localizable	Secondary Button	sekundäre Taste	
+	trigger.substring.button-name.secondary	Localizable	Secondary Button	sekundäre Maustaste	
-	trigger.substring.click.1	Localizable	Click %@	%@ klicken	Note: "%@" will be a button name (or nothing, if the button name can be inferred from context)\nExample where %@ is "Button 5": ⌥⌘ Double Click Button 4 + Click Button 5
+	trigger.substring.click.1	Localizable	Click %@	klicke %@	Note: "%@" will be a button name (or nothing, if the button name can be inferred from context)\nExample where %@ is "Button 5": ⌥⌘ Double Click Button 4 + Click Button 5
-	trigger.substring.click.2	Localizable	Double Click %@	%@ doppelklicken	
+	trigger.substring.click.2	Localizable	Double Click %@	Doppelklick %@	
-	trigger.substring.click.3	Localizable	Triple Click %@	%@ dreifach klicken	
+	trigger.substring.click.3	Localizable	Triple Click %@	Dreifachklick %@	
-	trigger.substring.drag.1	Localizable	Click and *Drag* %@	%@ klicken und *ziehen*	
+	trigger.substring.drag.1	Localizable	Click and *Drag* %@	klicke und *ziehe* %@	
-	trigger.substring.drag.2	Localizable	Double Click and *Drag* %@	%@ doppelklicken und *ziehen*	
+	trigger.substring.drag.2	Localizable	Double Click and *Drag* %@	Doppelklick und *ziehe* %@	
-	trigger.substring.drag.3	Localizable	Triple Click and *Drag* %@	%@ dreifach klicken und *ziehen*	
+	trigger.substring.drag.3	Localizable	Triple Click and *Drag* %@	Dreifachklick und *ziehe* %@	
-	trigger.substring.drag.flags	Localizable	and *Drag*	und *ziehen*	Example: ⌥⌘ and Drag\nNote: This will be used for Drag Actions that only need keyboard modifiers to be activated (And no mouse buttons)\nNote: The modifier flags such as '⌥⌘' will always appear at the _start_ of this string, not at the end.\nNote: Also see trigger.substring.scroll.flags
+	trigger.substring.drag.flags	Localizable	and *Drag*	und *ziehe*	Example: ⌥⌘ and Drag\nNote: This will be used for Drag Actions that only need keyboard modifiers to be activated (And no mouse buttons)\nNote: The modifier flags such as '⌥⌘' will always appear at the _start_ of this string, not at the end.\nNote: Also see trigger.substring.scroll.flags
-	trigger.substring.hold.1	Localizable	Hold %@	%@ halten	Remember: The strings starting with "trigger.substring.[...]" should be lowercase in most languages. See trigger.substring.button-modifier.2 for the explanation.
+	trigger.substring.hold.1	Localizable	Hold %@	halte %@	Remember: The strings starting with "trigger.substring.[...]" should be lowercase in most languages. See trigger.substring.button-modifier.2 for the explanation.
-	trigger.substring.hold.2	Localizable	Double Click and Hold %@	%@ doppelklicken und halten	
+	trigger.substring.hold.2	Localizable	Double Click and Hold %@	Doppelklick und halte %@	
-	trigger.substring.hold.3	Localizable	Triple Click and Hold %@	%@ dreifach klicken und halten	
+	trigger.substring.hold.3	Localizable	Triple Click and Hold %@	Dreifachklick und halte %@	
-	trigger.substring.scroll.1	Localizable	Click and *Scroll* %@	%@ klicken und *scrollen*	
+	trigger.substring.scroll.1	Localizable	Click and *Scroll* %@	klicke und *scrolle* %@	
-	trigger.substring.scroll.2	Localizable	Double Click and *Scroll* %@	%@ doppelklicken und *scrollen*	
+	trigger.substring.scroll.2	Localizable	Double Click and *Scroll* %@	Doppelklick und *scrolle* %@	
-	trigger.substring.scroll.3	Localizable	Triple Click and *Scroll* %@	%@ dreifach klicken und *scrollen*	
+	trigger.substring.scroll.3	Localizable	Triple Click and *Scroll* %@	Dreifachklick und *scrolle* %@	
-	trigger.substring.scroll.flags	Localizable	and *Scroll*	und *scrollen*	Example: ⌥⌘ and Scroll\nNote: Also see trigger.substring.drag.flags
+	trigger.substring.scroll.flags	Localizable	and *Scroll*	und *scrolle*	Example: ⌥⌘ and Scroll\nNote: Also see trigger.substring.drag.flags
-	trigger.y.group-row.button-name.middle	Localizable	Middle Button	mittlere Taste	Note: The "trigger.y.group-row.button-name.[...]" button names are used as headers to group together actions which are triggered by the same button.\nNote: The ".y" is there to influence the sorting when you sort by "Key" so you hopefully don't have to jump around as much while translating.
+	trigger.y.group-row.button-name.middle	Localizable	Middle Button	Mittlere Maustaste	Note: The "trigger.y.group-row.button-name.[...]" button names are used as headers to group together actions which are triggered by the same button.\nNote: The ".y" is there to influence the sorting when you sort by "Key" so you hopefully don't have to jump around as much while translating.
-	trigger.y.group-row.button-name.primary	Localizable	Primary Button	primäre Taste	
+	trigger.y.group-row.button-name.primary	Localizable	Primary Button	Primäre Maustaste	
-	trigger.y.group-row.button-name.secondary	Localizable	Secondary Button	sekundäre Taste	
+	trigger.y.group-row.button-name.secondary	Localizable	Secondary Button	Sekundäre Maustaste	
-	type-shortcut-prompt	Localizable	Type a Keyboard Shortcut	Tippe einen Tastaturkurzbefehl	
+	type-shortcut-prompt	Localizable	Type a Keyboard Shortcut	Tastaturkurzbefehl eingeben	
-	2Uv-W7-hzJ.title	Main	View Guides or Ask the Community...	Frag die Community oder schau dir Guides an…	Main Menu > Help > View Guides or Ask the Community...
+	2Uv-W7-hzJ.title	Main	View Guides or Ask the Community...	Anleitungen ansehen oder Community fragen …	Main Menu > Help > View Guides or Ask the Community...
-	3pt-ka-lxV.title	Main	Check for Updates...	Nach Updates suchen...	Main Menu > Mac Mouse Fix > Check for Updates...
+	3pt-ka-lxV.title	Main	Check for Updates...	Nach Updates suchen …	Main Menu > Mac Mouse Fix > Check for Updates...
-	5yb-g8-Kcg.title	Main	Help Translate	Hilf beim Übersetzen	About > Help Translate Link
+	5yb-g8-Kcg.title	Main	Help Translate	Beim Übersetzen helfen	About > Help Translate Link
-	17P-PJ-tV1.title	Main	Regular	Regulär	Scrolling > Smoothness > Regular Option
+	17P-PJ-tV1.title	Main	Regular	Normal	Scrolling > Smoothness > Regular Option
-	AHn-zX-g4d.title	Main	Move between pages in Safari by scrolling horizontally, and more	Blättere zwischen Seiten in Safari, indem du horizontal scrollst, und mehr	Scrolling > Trackpad Simulation Toggle > Hint
+	AHn-zX-g4d.title	Main	Move between pages in Safari by scrolling horizontally, and more	Wechsle zwischen Seiten in Safari durch horizontales Scrollen und mehr	Scrolling > Trackpad Simulation Toggle > Hint
-	AqN-zN-yDS.title	Main	Lets you quickly turn off or on features like smooth scrolling	Lässt dich schnell Features wie flüssiges Scrollen an- oder abschalten	General > Show in Menu Bar Toggle > Hint
+	AqN-zN-yDS.title	Main	Lets you quickly turn off or on features like smooth scrolling	Ermöglicht schnelles Aus- oder Einschalten von Funktionen wie sanftem Scrollen	General > Show in Menu Bar Toggle > Hint
-	bew-ni-FnZ.title	Main	Mac Mouse Fix stays enabled after you quit the app	Mac Mouse Fix bleibt eingeschaltet, nachdem du die App beendest	General > Enable Mac Mouse Fix Toggle > Hint \n\nNOTE: Primarily meant to teach the right mental model to users who have the common misconception that they need to make MMF a 'Login Item' to keep it working. The terminology is meant to match the 'Enable Mac Mouse Fix' toggle and the 'Quit Mac Mouse Fix' menubar item. \n\n(The idea is that, if the user understands that they can *completely quit* the app and still have it affecting their mouse, they won't try to keep the app open via the 'Open at Login' option.)
+	bew-ni-FnZ.title	Main	Mac Mouse Fix stays enabled after you quit the app	Mac Mouse Fix bleibt aktiviert, nachdem du die App beendest	General > Enable Mac Mouse Fix Toggle > Hint \n\nNOTE: Primarily meant to teach the right mental model to users who have the common misconception that they need to make MMF a 'Login Item' to keep it working. The terminology is meant to match the 'Enable Mac Mouse Fix' toggle and the 'Quit Mac Mouse Fix' menubar item. \n\n(The idea is that, if the user understands that they can *completely quit* the app and still have it affecting their mouse, they won't try to keep the app open via the 'Open at Login' option.)
